time,speaker,phase,content
17:03:12,NSF Research Team,introduction,Sorry.
17:03:13,G1P1,introduction,Your sound does… okay.
17:03:14,NSF Research Team,introduction,"No, it was… I completely forgot I had this thing. Um, we're gonna wait for one more person. It looks like there was one more person, so we're gonna hang out for them until about 5.05, and then if they don't show up, we're just gonna go and start"
17:03:25,NSF Research Team,introduction,"Um, since we do have two of you. So, can you please be patient? Thank you so much."
17:06:40,Experimenter 0,introduction,"Okay, we're gonna go ahead and get started here. So, it looks like you already have your cameras, microphones on."
17:06:47,Experimenter 0,introduction,"Uh, and so I renamed you to an anonymous ID to protect your privacy during the study."
17:06:53,Experimenter 0,introduction,"Um, so, like I said, thank you for joining me. Um…"
17:06:56,Experimenter 0,introduction,I would like you to welcome you to this experiment on collaborative creativity.
17:07:01,Experimenter 0,introduction,So…
17:07:03,Experimenter 0,introduction,"To get us started here, I'm gonna get a link."
17:07:06,Experimenter 0,introduction,Into the chat…
17:07:11,Experimenter 0,introduction,"Uh, I have just sent a link in the chat. This is the Informed Consent and demographic form. Please click the link."
17:07:16,Experimenter 0,introduction,"Read the information carefully, uh, and complete the form. Once you've submitted the form, please type the word DONE in the chat so I know you are ready to proceed."
17:08:04,G1P2,introduction,"For the participant ID, do you want to put the G1, P1, or our actual student ID?"
17:08:09,Experimenter 0,introduction,"The G1P1, yes."
17:08:11,G1P2,introduction,Okay.
17:10:41,Experimenter 0,introduction,"Okay, it looks like everyone has completed the informed consent and demographic"
17:10:45,Experimenter 0,introduction,"form. Uh, so I'm going to share another link in the chat now."
17:10:51,Experimenter 0,introduction,"Um, and…"
17:10:52,Experimenter 0,introduction,This is the pre-test questionnaire.
17:10:55,Experimenter 0,introduction,"Please click the link, read the information carefully, and complete the form. Once you've submitted a form."
17:11:00,Experimenter 0,introduction,"Please, again, uh, type the word done in the chat, so no, you're ready to proceed. Once again, using the"
17:11:05,Experimenter 0,introduction,"G1, P1, or P2."
17:11:07,Experimenter 0,introduction,"Uh, for your participant ID."
17:14:00,Experimenter 0,introduction,"Okay, so it looks like you all have completed that as well."
17:14:02,Experimenter 0,introduction,"Thank you so much. Uh, we are now moving into the first portion of the experiment. In this session, you'll be working as a group to generate ideas."
17:14:10,Experimenter 0,introduction,Give me one second so I can share my screen.
17:14:20,Experimenter 0,introduction,"Okay, and can you see what I'm sharing on my screen? It should say Osborne's Rules for Brainstorming."
17:14:26,Experimenter 0,introduction,"At the top. Perfect, okay."
17:14:29,Experimenter 0,introduction,"So, to help us get the most out of this session,"
17:14:31,Experimenter 0,introduction,We will follow Osborne's rules for brainstorming. Please follow along as I read them.
17:14:36,Experimenter 0,introduction,1. Quantity is wanted.
17:14:38,Experimenter 0,introduction,Produce as many ideas as possible.
17:14:41,Experimenter 0,introduction,2. Freewheeling is encouraged.
17:14:44,Experimenter 0,introduction,"The wilder the idea, the better."
17:14:45,Experimenter 0,introduction,Each idea can lead to another idea that may be better.
17:14:48,Experimenter 0,introduction,Generate as many ideas as possible to produce better ideas.
17:14:53,Experimenter 0,introduction,3. Criticism is not allowed.
17:14:55,Experimenter 0,introduction,Critical opinions of ideas will not be allowed. Every idea is welcome.
17:15:00,Experimenter 0,introduction,4. Combine and improve ideas. A combination of ideas can produce better ideas.
17:15:05,Experimenter 0,introduction,Be willing to improve ideas by combining two or more ideas.
17:15:09,Experimenter 0,introduction,5. Stay focused on the task.
17:15:11,Experimenter 0,introduction,"concentrate on the problem at hand, and avoid engaging in irrelevant thought processes and discussions."
17:15:17,Experimenter 0,introduction,"In addition to that, do not tell stories."
17:15:20,Experimenter 0,introduction,We are only interested in your ideas.
17:15:22,Experimenter 0,introduction,Do not tell stories about your experiences.
17:15:25,Experimenter 0,introduction,Do not explain ideas.
17:15:26,Experimenter 0,introduction,"Uh, refrain from expanding on why you think something is good or bad. Simply state your idea and continue with the next idea."
17:15:39,Experimenter 0,introduction,"Uh, do you have any questions about these rules before we begin?"
17:15:44,Experimenter 0,introduction,Perfect. Uh…
17:15:47,Experimenter 0,introduction,The problem you will be working on today is called the university problem.
17:15:52,Experimenter 0,introduction,We would like you to generate ideas or ways to improve your university.
17:15:55,Experimenter 0,introduction,Any suggestions you have about how to make the university better are appropriate.
17:15:59,Experimenter 0,introduction,You have 10 minutes to verbally brainstorm on this.
17:16:02,Experimenter 0,introduction,"Even if you are done before 10 minutes, keep trying to generate ideas."
17:16:06,Experimenter 0,introduction,I will return when the 10 minutes are up.
17:16:12,Experimenter 0,introduction,Okay. And so…
17:16:16,Experimenter 0,ideaGenerationOne,um… your time starts now.
17:16:20,G1P1,ideaGenerationOne,"Do we verbally say it, or just… do we…"
17:16:23,G1P1,ideaGenerationOne,Okay.
17:16:23,Experimenter 0,ideaGenerationOne,verbally say yes.
17:16:25,G1P1,ideaGenerationOne,"Okay, um…"
17:16:25,G1P2,ideaGenerationOne,parking.
17:16:27,G1P1,ideaGenerationOne,"I was gonna say the same thing. I think better parking situation, um…"
17:16:36,G1P1,ideaGenerationOne,"Uh, I think some type of, like,"
17:16:39,G1P1,ideaGenerationOne,Transportation.
17:16:41,G1P1,ideaGenerationOne,to be able to get across the campus.
17:16:44,G1P1,ideaGenerationOne,easier. Um…
17:16:49,G1P1,ideaGenerationOne,"like, I know there's some things."
17:16:51,G1P1,ideaGenerationOne,But…
17:16:53,G1P2,ideaGenerationOne,more things to do after…
17:16:56,G1P2,ideaGenerationOne,"At night, especially for those that have night classes, well, actually, in the morning, since people have night classes."
17:17:02,G1P2,ideaGenerationOne,Because everything they have going on?
17:17:04,G1P2,ideaGenerationOne,"That night, yeah. Um…"
17:17:08,G1P1,ideaGenerationOne,Um…
17:17:17,G1P2,ideaGenerationOne,"More programs for the psychology students, especially master's programs."
17:17:22,G1P2,ideaGenerationOne,extracurricular stuff.
17:17:34,G1P1,ideaGenerationOne,More vending machine set.
